"","lossyear","count_PA","count_4km","counter","PA_ID","PA_name"
"1",0,207678,220000,1,5,"Kangari Hills"
"2",1,655,1384,1,5,"Kangari Hills"
"3",2,602,1035,1,5,"Kangari Hills"
"4",3,152,425,1,5,"Kangari Hills"
"5",4,300,286,1,5,"Kangari Hills"
"6",5,56,167,1,5,"Kangari Hills"
"7",6,2871,3980,1,5,"Kangari Hills"
"8",7,2400,2164,1,5,"Kangari Hills"
"9",8,1404,2379,1,5,"Kangari Hills"
"10",9,477,1098,1,5,"Kangari Hills"
"11",10,61,118,1,5,"Kangari Hills"
"12",11,1450,3520,1,5,"Kangari Hills"
"13",12,143,417,1,5,"Kangari Hills"
"14",13,4179,15279,1,5,"Kangari Hills"
"15",14,3891,11468,1,5,"Kangari Hills"
"16",15,4810,17207,1,5,"Kangari Hills"
"17",16,7131,18805,1,5,"Kangari Hills"
"18",17,5033,23122,1,5,"Kangari Hills"
"19",18,4447,15444,1,5,"Kangari Hills"
"20",0,1045018,593419,2,1,"Outamba"
"21",1,217,267,2,1,"Outamba"
"22",2,250,222,2,1,"Outamba"
"23",3,7,86,2,1,"Outamba"
"24",4,283,348,2,1,"Outamba"
"25",5,82,128,2,1,"Outamba"
"26",6,76,236,2,1,"Outamba"
"27",7,513,526,2,1,"Outamba"
"28",8,594,511,2,1,"Outamba"
"29",9,177,194,2,1,"Outamba"
"30",10,446,576,2,1,"Outamba"
"31",11,1083,1338,2,1,"Outamba"
"32",12,762,619,2,1,"Outamba"
"33",13,3026,3452,2,1,"Outamba"
"34",14,2297,4171,2,1,"Outamba"
"35",15,3802,4202,2,1,"Outamba"
"36",16,3757,4669,2,1,"Outamba"
"37",17,4162,3729,2,1,"Outamba"
"38",18,2845,1475,2,1,"Outamba"
"39",0,569639,343024,3,1,"Kilimi"
"40",1,149,216,3,1,"Kilimi"
"41",2,234,172,3,1,"Kilimi"
"42",3,60,98,3,1,"Kilimi"
"43",4,79,104,3,1,"Kilimi"
"44",5,118,133,3,1,"Kilimi"
"45",6,261,195,3,1,"Kilimi"
"46",7,552,274,3,1,"Kilimi"
"47",8,411,158,3,1,"Kilimi"
"48",9,794,272,3,1,"Kilimi"
"49",10,157,47,3,1,"Kilimi"
"50",11,233,303,3,1,"Kilimi"
"51",12,366,541,3,1,"Kilimi"
"52",13,1919,1648,3,1,"Kilimi"
"53",14,1221,1477,3,1,"Kilimi"
"54",15,2063,1310,3,1,"Kilimi"
"55",16,614,487,3,1,"Kilimi"
"56",17,1266,1952,3,1,"Kilimi"
"57",18,427,584,3,1,"Kilimi"
"58",0,330615,428448,4,3,"Loma Mountains"
"59",1,335,900,4,3,"Loma Mountains"
"60",2,49,245,4,3,"Loma Mountains"
"61",3,51,104,4,3,"Loma Mountains"
"62",4,20,39,4,3,"Loma Mountains"
"63",5,61,108,4,3,"Loma Mountains"
"64",6,218,835,4,3,"Loma Mountains"
"65",7,131,529,4,3,"Loma Mountains"
"66",8,63,516,4,3,"Loma Mountains"
"67",9,81,420,4,3,"Loma Mountains"
"68",10,39,122,4,3,"Loma Mountains"
"69",11,299,1659,4,3,"Loma Mountains"
"70",12,190,407,4,3,"Loma Mountains"
"71",13,2009,6593,4,3,"Loma Mountains"
"72",14,1064,8222,4,3,"Loma Mountains"
"73",15,2876,9344,4,3,"Loma Mountains"
"74",16,1678,6774,4,3,"Loma Mountains"
"75",17,1328,12643,4,3,"Loma Mountains"
"76",18,1164,6667,4,3,"Loma Mountains"
"77",0,213672,259603,5,4,"Western Area Peninsula"
"78",1,52,223,5,4,"Western Area Peninsula"
"79",2,154,243,5,4,"Western Area Peninsula"
"80",3,74,399,5,4,"Western Area Peninsula"
"81",4,758,1358,5,4,"Western Area Peninsula"
"82",5,485,1007,5,4,"Western Area Peninsula"
"83",6,416,3191,5,4,"Western Area Peninsula"
"84",7,109,673,5,4,"Western Area Peninsula"
"85",8,184,618,5,4,"Western Area Peninsula"
"86",9,1033,4217,5,4,"Western Area Peninsula"
"87",10,162,546,5,4,"Western Area Peninsula"
"88",11,125,298,5,4,"Western Area Peninsula"
"89",12,462,1832,5,4,"Western Area Peninsula"
"90",13,777,2467,5,4,"Western Area Peninsula"
"91",14,1022,3165,5,4,"Western Area Peninsula"
"92",15,1155,3757,5,4,"Western Area Peninsula"
"93",16,3467,4489,5,4,"Western Area Peninsula"
"94",17,1349,4730,5,4,"Western Area Peninsula"
"95",18,1565,3423,5,4,"Western Area Peninsula"
"96",0,164874,294810,6,6,"Tingi Hills"
"97",1,94,575,6,6,"Tingi Hills"
"98",2,58,152,6,6,"Tingi Hills"
"99",3,49,114,6,6,"Tingi Hills"
"100",4,262,190,6,6,"Tingi Hills"
"101",5,41,48,6,6,"Tingi Hills"
"102",6,157,307,6,6,"Tingi Hills"
"103",7,205,712,6,6,"Tingi Hills"
"104",8,171,379,6,6,"Tingi Hills"
"105",9,439,744,6,6,"Tingi Hills"
"106",10,135,215,6,6,"Tingi Hills"
"107",11,245,492,6,6,"Tingi Hills"
"108",12,271,579,6,6,"Tingi Hills"
"109",13,1623,5063,6,6,"Tingi Hills"
"110",14,1463,3061,6,6,"Tingi Hills"
"111",15,1890,4208,6,6,"Tingi Hills"
"112",16,2305,3615,6,6,"Tingi Hills"
"113",17,1880,5937,6,6,"Tingi Hills"
"114",18,1010,2791,6,6,"Tingi Hills"
"115",0,224231,439240,7,7,"Kambui Hills North"
"116",1,1388,5807,7,7,"Kambui Hills North"
"117",2,304,3402,7,7,"Kambui Hills North"
"118",3,142,1305,7,7,"Kambui Hills North"
"119",4,282,539,7,7,"Kambui Hills North"
"120",5,298,2164,7,7,"Kambui Hills North"
"121",6,1233,5674,7,7,"Kambui Hills North"
"122",7,807,2880,7,7,"Kambui Hills North"
"123",8,1372,3572,7,7,"Kambui Hills North"
"124",9,1350,4493,7,7,"Kambui Hills North"
"125",10,222,1211,7,7,"Kambui Hills North"
"126",11,645,3181,7,7,"Kambui Hills North"
"127",12,882,4384,7,7,"Kambui Hills North"
