"","lossyear","count_PA","count_4km","counter","PA_ID","PA_name"
"1",0,171345,193490,1,9176,"East Nimba Nature Reserve"
"2",1,346,747,1,9176,"East Nimba Nature Reserve"
"3",2,648,2291,1,9176,"East Nimba Nature Reserve"
"4",3,337,1128,1,9176,"East Nimba Nature Reserve"
"5",4,25,46,1,9176,"East Nimba Nature Reserve"
"6",5,29,191,1,9176,"East Nimba Nature Reserve"
"7",6,147,1261,1,9176,"East Nimba Nature Reserve"
"8",7,254,1491,1,9176,"East Nimba Nature Reserve"
"9",8,119,1354,1,9176,"East Nimba Nature Reserve"
"10",9,80,1385,1,9176,"East Nimba Nature Reserve"
"11",10,13,141,1,9176,"East Nimba Nature Reserve"
"12",11,55,702,1,9176,"East Nimba Nature Reserve"
"13",12,393,1420,1,9176,"East Nimba Nature Reserve"
"14",13,260,4554,1,9176,"East Nimba Nature Reserve"
"15",14,176,2176,1,9176,"East Nimba Nature Reserve"
"16",15,334,8406,1,9176,"East Nimba Nature Reserve"
"17",16,1398,9552,1,9176,"East Nimba Nature Reserve"
"18",17,656,10109,1,9176,"East Nimba Nature Reserve"
"19",18,1395,7947,1,9176,"East Nimba Nature Reserve"
"20",0,2107766,1221220,2,555512165,"Foya"
"21",1,1161,1120,2,555512165,"Foya"
"22",2,976,1274,2,555512165,"Foya"
"23",3,953,429,2,555512165,"Foya"
"24",4,402,566,2,555512165,"Foya"
"25",5,272,514,2,555512165,"Foya"
"26",6,1238,2841,2,555512165,"Foya"
"27",7,867,2304,2,555512165,"Foya"
"28",8,1247,2638,2,555512165,"Foya"
"29",9,2231,4498,2,555512165,"Foya"
"30",10,1502,2474,2,555512165,"Foya"
"31",11,570,1004,2,555512165,"Foya"
"32",12,2647,8311,2,555512165,"Foya"
"33",13,5097,12789,2,555512165,"Foya"
"34",14,4654,11977,2,555512165,"Foya"
"35",15,10014,27886,2,555512165,"Foya"
"36",16,5248,16583,2,555512165,"Foya"
"37",17,7782,27136,2,555512165,"Foya"
"38",18,5637,19934,2,555512165,"Foya"
"39",0,1060173,914004,3,555512166,"Kpo Mountains"
"40",1,870,3676,3,555512166,"Kpo Mountains"
"41",2,352,2093,3,555512166,"Kpo Mountains"
"42",3,473,686,3,555512166,"Kpo Mountains"
"43",4,586,1159,3,555512166,"Kpo Mountains"
"44",5,161,444,3,555512166,"Kpo Mountains"
"45",6,1270,5113,3,555512166,"Kpo Mountains"
"46",7,1002,5360,3,555512166,"Kpo Mountains"
"47",8,803,4257,3,555512166,"Kpo Mountains"
"48",9,2577,11330,3,555512166,"Kpo Mountains"
"49",10,1016,5798,3,555512166,"Kpo Mountains"
"50",11,627,2732,3,555512166,"Kpo Mountains"
"51",12,1251,8450,3,555512166,"Kpo Mountains"
"52",13,2383,16717,3,555512166,"Kpo Mountains"
"53",14,3798,19205,3,555512166,"Kpo Mountains"
"54",15,5524,25558,3,555512166,"Kpo Mountains"
"55",16,3978,18955,3,555512166,"Kpo Mountains"
"56",17,5383,19939,3,555512166,"Kpo Mountains"
"57",18,4715,23769,3,555512166,"Kpo Mountains"
"58",0,1268036,658889,4,9171,"Gola Forest National Park"
"59",1,490,449,4,9171,"Gola Forest National Park"
"60",2,198,451,4,9171,"Gola Forest National Park"
"61",3,11,76,4,9171,"Gola Forest National Park"
"62",4,143,128,4,9171,"Gola Forest National Park"
"63",5,219,152,4,9171,"Gola Forest National Park"
"64",6,743,920,4,9171,"Gola Forest National Park"
"65",7,832,668,4,9171,"Gola Forest National Park"
"66",8,235,609,4,9171,"Gola Forest National Park"
"67",9,1617,2755,4,9171,"Gola Forest National Park"
"68",10,157,279,4,9171,"Gola Forest National Park"
"69",11,343,334,4,9171,"Gola Forest National Park"
"70",12,701,1368,4,9171,"Gola Forest National Park"
"71",13,1309,2190,4,9171,"Gola Forest National Park"
"72",14,941,1970,4,9171,"Gola Forest National Park"
"73",15,1798,4949,4,9171,"Gola Forest National Park"
"74",16,2416,3813,4,9171,"Gola Forest National Park"
"75",17,1781,3955,4,9171,"Gola Forest National Park"
"76",18,1951,3494,4,9171,"Gola Forest National Park"
"77",0,460196,258076,5,7414,"Wonegizi Nature Reserve"
"78",1,387,3692,5,7414,"Wonegizi Nature Reserve"
"79",2,298,888,5,7414,"Wonegizi Nature Reserve"
"80",3,40,142,5,7414,"Wonegizi Nature Reserve"
"81",4,73,586,5,7414,"Wonegizi Nature Reserve"
"82",5,168,1023,5,7414,"Wonegizi Nature Reserve"
"83",6,132,1779,5,7414,"Wonegizi Nature Reserve"
"84",7,941,7003,5,7414,"Wonegizi Nature Reserve"
