"","lossyear","count_PA","count_4km","counter","PA_ID","PA_name"
"1",0,2390,60499,1,29972,"Kambui South"
"2",1,29,389,1,29972,"Kambui South"
"3",2,46,723,1,29972,"Kambui South"
"4",3,20,338,1,29972,"Kambui South"
"5",4,NA,80,1,29972,"Kambui South"
"6",5,NA,30,1,29972,"Kambui South"
"7",6,3,514,1,29972,"Kambui South"
"8",7,NA,288,1,29972,"Kambui South"
"9",8,NA,11,1,29972,"Kambui South"
"10",9,98,732,1,29972,"Kambui South"
"11",10,106,215,1,29972,"Kambui South"
"12",11,44,1084,1,29972,"Kambui South"
"13",12,NA,796,1,29972,"Kambui South"
"14",13,79,3328,1,29972,"Kambui South"
"15",14,395,5529,1,29972,"Kambui South"
"16",15,1147,8375,1,29972,"Kambui South"
"17",16,243,2305,1,29972,"Kambui South"
"18",17,610,4906,1,29972,"Kambui South"
"19",18,345,4688,1,29972,"Kambui South"
"20",19,336,5352,1,29972,"Kambui South"
"21",20,262,3895,1,29972,"Kambui South"
"22",21,109,3250,1,29972,"Kambui South"
"23",0,926626,892956,2,555542335,"Gola Rainforest National Park"
"24",1,240,5737,2,555542335,"Gola Rainforest National Park"
"25",2,130,3142,2,555542335,"Gola Rainforest National Park"
"26",3,147,5438,2,555542335,"Gola Rainforest National Park"
"27",4,28,1171,2,555542335,"Gola Rainforest National Park"
"28",5,46,1990,2,555542335,"Gola Rainforest National Park"
"29",6,207,11059,2,555542335,"Gola Rainforest National Park"
"30",7,99,7205,2,555542335,"Gola Rainforest National Park"
"31",8,42,6305,2,555542335,"Gola Rainforest National Park"
"32",9,359,13227,2,555542335,"Gola Rainforest National Park"
"33",10,109,3931,2,555542335,"Gola Rainforest National Park"
"34",11,91,3593,2,555542335,"Gola Rainforest National Park"
"35",12,107,7789,2,555542335,"Gola Rainforest National Park"
"36",13,388,30048,2,555542335,"Gola Rainforest National Park"
"37",14,146,20376,2,555542335,"Gola Rainforest National Park"
"38",15,191,35143,2,555542335,"Gola Rainforest National Park"
"39",16,121,34427,2,555542335,"Gola Rainforest National Park"
"40",17,642,41563,2,555542335,"Gola Rainforest National Park"
"41",18,325,39709,2,555542335,"Gola Rainforest National Park"
"42",19,466,32682,2,555542335,"Gola Rainforest National Park"
"43",20,318,25496,2,555542335,"Gola Rainforest National Park"
"44",21,548,37024,2,555542335,"Gola Rainforest National Park"
"45",0,530720,354753,3,555555549,"Kilimi"
"46",1,132,224,3,555555549,"Kilimi"
"47",2,216,164,3,555555549,"Kilimi"
"48",3,57,60,3,555555549,"Kilimi"
"49",4,58,100,3,555555549,"Kilimi"
"50",5,111,144,3,555555549,"Kilimi"
"51",6,247,178,3,555555549,"Kilimi"
"52",7,559,178,3,555555549,"Kilimi"
"53",8,375,175,3,555555549,"Kilimi"
"54",9,736,276,3,555555549,"Kilimi"
"55",10,133,61,3,555555549,"Kilimi"
"56",11,198,207,3,555555549,"Kilimi"
"57",12,509,314,3,555555549,"Kilimi"
"58",13,1724,1471,3,555555549,"Kilimi"
"59",14,1105,1542,3,555555549,"Kilimi"
"60",15,1786,1493,3,555555549,"Kilimi"
"61",16,594,457,3,555555549,"Kilimi"
"62",17,1176,2036,3,555555549,"Kilimi"
"63",18,303,626,3,555555549,"Kilimi"
"64",19,577,1026,3,555555549,"Kilimi"
"65",20,1456,910,3,555555549,"Kilimi"
"66",21,700,940,3,555555549,"Kilimi"
"67",0,16332,92938,4,10741,"Tiwai Island Sanctuary"
"68",1,6,860,4,10741,"Tiwai Island Sanctuary"
"69",2,NA,1057,4,10741,"Tiwai Island Sanctuary"
"70",3,1,348,4,10741,"Tiwai Island Sanctuary"
"71",4,2,116,4,10741,"Tiwai Island Sanctuary"
"72",5,NA,92,4,10741,"Tiwai Island Sanctuary"
"73",6,NA,1107,4,10741,"Tiwai Island Sanctuary"
"74",7,NA,491,4,10741,"Tiwai Island Sanctuary"
"75",8,NA,344,4,10741,"Tiwai Island Sanctuary"
"76",9,1,1042,4,10741,"Tiwai Island Sanctuary"
"77",10,3,227,4,10741,"Tiwai Island Sanctuary"
"78",11,2,902,4,10741,"Tiwai Island Sanctuary"
"79",12,NA,713,4,10741,"Tiwai Island Sanctuary"
"80",13,NA,5112,4,10741,"Tiwai Island Sanctuary"
"81",14,11,4636,4,10741,"Tiwai Island Sanctuary"
"82",15,NA,6820,4,10741,"Tiwai Island Sanctuary"
"83",16,6,2199,4,10741,"Tiwai Island Sanctuary"
"84",17,6,8517,4,10741,"Tiwai Island Sanctuary"
"85",18,9,6352,4,10741,"Tiwai Island Sanctuary"
"86",19,6,4708,4,10741,"Tiwai Island Sanctuary"
"87",20,NA,4769,4,10741,"Tiwai Island Sanctuary"
"88",21,6,3010,4,10741,"Tiwai Island Sanctuary"
"89",0,5169,63627,5,29986,"Lalay"
"90",1,35,1017,5,29986,"Lalay"
"91",2,27,415,5,29986,"Lalay"
"92",3,71,848,5,29986,"Lalay"
"93",4,1,284,5,29986,"Lalay"
"94",5,NA,28,5,29986,"Lalay"
"95",6,NA,414,5,29986,"Lalay"
"96",7,18,588,5,29986,"Lalay"
