year,n,size,pct_lost,Name
2001,250673,95196312,.26332217,Sierra Leone
2002,205754,95196312,.21613653,Sierra Leone
2003,123549,95196312,.12978339,Sierra Leone
2004,53959,95196312,.056681819,Sierra Leone
2005,94926,95196312,.099716045,Sierra Leone
2006,385641,95196312,.40510076,Sierra Leone
2007,290774,95196312,.30544671,Sierra Leone
2008,278880,95196312,.29295254,Sierra Leone
2009,406906,95196312,.42743883,Sierra Leone
2010,118035,95196312,.12399115,Sierra Leone
2011,458670,95196312,.48181489,Sierra Leone
2012,218136,95196312,.22914334,Sierra Leone
2013,2301779,95196312,2.4179287,Sierra Leone
2014,2192404,95196312,2.3030345,Sierra Leone
2015,3131772,95196312,3.289804,Sierra Leone
2016,2386246,95196312,2.5066581,Sierra Leone
2017,3111912,95196312,3.2689419,Sierra Leone
2018,2553377,95196312,2.6822226,Sierra Leone
