"","id","rand_cov_id","year","fec","post","attrited","age","HH_size","sex","edu_none","edu_prim","edu_sec","cocoa_farm","plnt_size","smp_size","up_size"
"1",3,203,2014,0,0,0,69,12,0,0,0,0,1,10,1,11
"2",53,203,2014,0,0,1,37,7,0,0,0,0,1,13,2,0
"3",105,203,2014,0,0,1,74,11,0,0,0,0,1,23,1,6
"4",160,203,2014,0,0,0,55,11,0,1,0,0,1,8,0,6
"5",211,203,2014,0,0,1,59,8,0,0,0,0,0,0,0,1
"6",260,203,2014,0,0,0,59,9,0,0,0,1,1,31,3,2
"7",310,203,2014,0,0,0,30,14,0,0,0,0,1,16,2,4
"8",403,203,2014,0,0,0,41,9,0,1,0,0,0,0,1,3
"9",448,203,2014,0,0,0,41,8,0,0,0,0,1,4,0,4
"10",495,203,2014,0,0,0,43,6,0,1,0,0,1,5,2,5
"11",542,203,2014,0,0,0,34,6,0,1,0,0,1,14,2,5
"12",582,203,2014,0,0,0,35,9,0,0,1,0,1,24,3,5
"13",629,203,2014,0,0,0,34,9,0,0,0,0,1,3,0,12
"14",674,203,2014,0,0,0,53,8,0,1,0,0,1,8,1,0
"15",4,642,2014,0,0,0,50,12,0,0,0,0,1,21,0,21
"16",54,642,2014,0,0,0,78,11,0,0,0,1,1,11,1,3
"17",106,642,2014,0,0,0,54,5,0,0,0,0,0,5,1,5
"18",161,642,2014,0,0,0,35,8,1,0,1,0,1,7,2,4
"19",212,642,2014,0,0,0,28,6,0,0,1,0,1,5,0,3
"20",261,642,2014,0,0,0,35,9,1,1,0,0,1,10,0,4
"21",311,642,2014,0,0,0,28,4,0,0,0,1,0,8,0,4
"22",358,642,2014,0,0,0,46,11,0,0,0,0,1,15,2,0
"23",404,642,2014,0,0,0,53,5,0,0,1,0,1,10,0,3
"24",449,642,2014,0,0,0,40,7,1,1,0,0,1,11,1,2
"25",496,642,2014,0,0,0,68,6,0,1,0,0,1,10,1,0
"26",543,642,2014,0,0,0,35,9,0,1,0,0,1,8,2,3
"27",583,642,2014,0,0,0,55,8,1,1,0,0,0,5,0,1
"28",630,642,2014,0,0,0,74,16,0,0,0,0,1,17,0,17
"29",675,642,2014,0,0,0,42,12,0,0,1,0,1,8,0,8
"30",5,441,2014,0,0,0,35,4,0,1,0,0,0,0,0,0
"31",55,441,2014,0,0,1,40,5,0,0,0,0,1,3,1,5
"32",107,441,2014,0,0,0,30,7,0,0,0,0,1,3,0,0
"33",162,441,2014,0,0,0,40,8,0,0,0,0,1,5,0,3
"34",262,441,2014,0,0,0,80,8,0,0,0,0,0,3,0,0
"35",312,441,2014,0,0,1,74,4,0,1,0,0,1,0,0,0
"36",359,441,2014,0,0,0,30,12,0,0,0,0,0,0,0,5
"37",405,441,2014,0,0,0,20,4,0,0,0,0,0,6.09154929577465,3,4
"38",450,441,2014,0,0,0,29,6,0,0,0,1,0,0,0,4
"39",497,441,2014,0,0,1,35,9,0,0,0,0,0,4,3,4
"40",584,441,2014,0,0,1,70,6,1,1,0,0,1,3,2,0
"41",631,441,2014,0,0,0,34,10,0,1,0,0,0,3,0,0
"42",676,441,2014,0,0,0,35,8,0,1,0,0,0,0,0,0
"43",6,671,2014,1,0,0,55,10,0,0,0,0,1,11,1,0
"44",56,671,2014,1,0,0,34,11,0,0,0,0,1,9,0,3
"45",108,671,2014,1,0,1,35,10,0,0,1,0,0,10,1,4
"46",163,671,2014,1,0,0,35,6,0,0,0,1,0,10,1,3
"47",213,671,2014,1,0,0,64,2,1,1,0,0,0,0,0,0
"48",263,671,2014,1,0,0,35,11,0,1,0,0,0,8,0,4
"49",313,671,2014,1,0,1,70,7,1,1,0,0,0,7,0,2
"50",360,671,2014,1,0,0,61,2,0,1,0,0,1,3,1,0
"51",406,671,2014,1,0,1,50,10,1,1,0,0,1,7,1,0
"52",451,671,2014,1,0,0,60,7,0,1,0,0,0,0,0,2
"53",498,671,2014,1,0,0,62,8,0,0,0,0,1,2,1,0
"54",585,671,2014,1,0,0,60,6,1,1,0,0,1,5,1,4
"55",632,671,2014,1,0,0,46,10,0,1,0,0,0,3,1,0
"56",677,671,2014,1,0,1,43,10,0,0,0,0,1,9,2,0
"57",722,671,2014,1,0,0,38,11,1,1,0,0,1,5,1,0
"58",755,671,2014,1,0,0,81,20,0,0,0,0,1,15,0,1
"59",7,371,2014,0,0,0,34,6,0,1,0,0,0,0,0,3
"60",109,371,2014,0,0,0,53,10,0,0,0,1,0,8,0,7
"61",164,371,2014,0,0,0,37,5,0,1,0,0,0,0,0,0
"62",214,371,2014,0,0,1,40,7,0,0,0,0,1,5,2,3
"63",264,371,2014,0,0,0,49,6,0,0,0,1,1,3,3,3
"64",314,371,2014,0,0,0,37,11,0,0,0,0,1,20,0,4
"65",452,371,2014,0,0,0,65,8,1,1,0,0,0,6.09154929577465,1.54066985645933,0
"66",499,371,2014,0,0,0,34,12,0,0,0,0,1,25,0,4
"67",544,371,2014,0,0,0,40,10,0,0,0,0,1,15,2,4
"68",633,371,2014,0,0,0,40,13,1,1,0,0,0,0,0,5
"69",678,371,2014,0,0,0,50,9,1,1,0,0,0,0,0,5
"70",756,371,2014,0,0,0,82,18,0,0,0,0,0,10,0,0
"71",8,678,2014,0,0,0,71,8,0,0,0,0,1,8,3,5
"72",57,678,2014,0,0,1,25,6,0,0,0,0,1,12,1,7
"73",110,678,2014,0,0,0,35,21,0,0,1,0,1,7,2,7
"74",165,678,2014,0,0,0,48,8,0,0,0,0,1,3,0,3
"75",215,678,2014,0,0,1,58,7,0,1,0,0,1,17,2,1
"76",265,678,2014,0,0,0,37,9,0,0,0,0,1,3,0,3
"77",315,678,2014,0,0,0,63,10,1,1,0,0,0,0,0,3
"78",361,678,2014,0,0,0,50,11,1,1,0,0,0,0,0,3
"79",407,678,2014,0,0,0,70,12,1,1,0,0,1,6,0,3
"80",453,678,2014,0,0,0,74,8,0,1,0,0,1,7,0,5
"81",500,678,2014,0,0,0,45,10,1,1,0,0,1,6,1,6
"82",545,678,2014,0,0,1,53,11,0,1,0,0,0,2,1,5
"83",586,678,2014,0,0,0,30,15,0,0,0,0,1,20,0,11
"84",634,678,2014,0,0,0,48,11,0,0,0,0,1,18,1,3
"85",679,678,2014,0,0,0,35,8,1,1,0,0,1,3,1,0
"86",723,678,2014,0,0,0,55,14,1,1,0,0,1,18,0,2
"87",9,762,2014,0,0,0,45,10,0,0,0,0,1,12,2,8
"88",58,762,2014,0,0,0,54,4,1,1,0,0,0,0,0,0
"89",111,762,2014,0,0,1,36,8,0,1,0,0,1,6,1,6
"90",166,762,2014,0,0,0,74,12,0,0,0,0,1,8,0,8
"91",216,762,2014,0,0,0,30,5,1,1,0,0,1,1,0,1
"92",266,762,2014,0,0,0,34,5,0,1,0,0,0,2,2,3
"93",316,762,2014,0,0,1,75,7,0,0,0,0,1,6,0,4
"94",362,762,2014,0,0,0,78,14,0,0,0,0,1,9,0,4
"95",408,762,2014,0,0,0,66,8,0,0,0,1,1,9,1,0
"96",454,762,2014,0,0,0,54,18,0,1,0,0,1,14,0,0
"97",501,762,2014,0,0,0,37,10,0,0,0,0,1,14,0,2
"98",546,762,2014,0,0,0,42,8,1,0,0,1,1,4,5,4
"99",587,762,2014,0,0,1,56,8,0,0,0,1,1,6,2,3
"100",635,762,2014,0,0,1,38,7,0,0,0,1,0,3,0,4
"101",680,762,2014,0,0,0,50,6,1,1,0,0,1,3,0,0
"102",724,762,2014,0,0,0,70,10,0,0,0,0,0,14,0,14
"103",10,525,2014,0,0,0,46,21,0,0,0,0,0,10,2,8
"104",59,525,2014,0,0,0,35,11,1,1,0,0,0,3,2,8
"105",112,525,2014,0,0,0,41,15,0,0,0,0,1,10,0,4
"106",167,525,2014,0,0,0,39,7,0,0,0,0,1,12,0,3
"107",217,525,2014,0,0,0,65,6,1,1,0,0,1,1,0,1
"108",267,525,2014,0,0,0,54,11,0,0,0,0,1,10,2,3
"109",317,525,2014,0,0,1,85,14,0,0,0,0,1,7,0,1
"110",363,525,2014,0,0,0,75,10,1,1,0,0,1,0,0,0
"111",409,525,2014,0,0,0,51,14,0,0,0,0,1,4,0,3
"112",455,525,2014,0,0,0,27,7,0,0,0,0,1,15,6,8
"113",502,525,2014,0,0,0,55,11,1,1,0,0,0,1,1,10
"114",547,525,2014,0,0,1,25,16,1,0,0,1,1,16,4,12
"115",588,525,2014,0,0,0,37,4,1,0,0,1,1,10,0,0
"116",636,525,2014,0,0,0,55,8,0,1,0,0,1,14,4,6
"117",681,525,2014,0,0,0,45,13,0,0,0,0,1,20,1,5
"118",11,491,2014,0,0,0,48,7,0,0,0,1,0,3,1,0
"119",60,491,2014,0,0,0,42,9,0,0,0,0,1,5,0,0
"120",113,491,2014,0,0,0,37,10,0,0,0,0,1,2,1,2
"121",168,491,2014,0,0,0,42,8,0,0,0,0,0,0,0,2
"122",218,491,2014,0,0,0,59,8,0,0,0,0,0,4,0,1
"123",268,491,2014,0,0,0,50,10,0,0,1,0,1,15,6,10
"124",318,491,2014,0,0,0,59,12,0,0,0,0,1,9,3,3
"125",364,491,2014,0,0,0,54,7,1,0,0,0,0,10,0,2
"126",410,491,2014,0,0,0,50,10,0,0,0,0,0,4,1,3
"127",456,491,2014,0,0,0,54,29,0,1,0,0,1,15,0,0
"128",503,491,2014,0,0,0,31,6,0,0,1,0,0,5,0,2
"129",548,491,2014,0,0,0,45,9,0,0,0,0,0,2,1,0
"130",589,491,2014,0,0,0,39,10,0,0,0,0,0,0,2,3
"131",637,491,2014,0,0,0,40,10,1,1,0,0,0,0,0,4
"132",682,491,2014,0,0,0,49,7,0,0,0,0,0,0,0,0
"133",12,969,2014,0,0,0,39,10,0,0,0,0,1,3,0,0
"134",61,969,2014,0,0,0,45,5,0,0,0,0,1,10,2,0
"135",114,969,2014,0,0,0,55,9,1,1,0,0,0,6,1,2
"136",169,969,2014,0,0,0,50,6,0,0,0,0,0,1,1,2
"137",219,969,2014,0,0,0,35,6,0,0,0,0,0,14,0,3
"138",269,969,2014,0,0,0,54,4,1,1,0,0,0,0,0,1
"139",319,969,2014,0,0,0,40,15,0,0,0,0,1,5,2,3
"140",365,969,2014,0,0,0,80,18,0,0,0,0,1,11,1,4
"141",411,969,2014,0,0,0,48,9,0,0,0,0,0,8,2,2
"142",457,969,2014,0,0,0,65,10,0,0,1,0,1,5,2,3
"143",504,969,2014,0,0,0,56,8,0,0,1,0,1,15,1,4
"144",549,969,2014,0,0,0,55,11,0,1,0,0,1,1,0,1
"145",590,969,2014,0,0,0,45,8,1,0,0,1,0,0,2,0
"146",638,969,2014,0,0,0,44,8,0,0,0,1,1,9,8,5
"147",683,969,2014,0,0,0,29,7,1,1,0,0,1,3,3,0
"148",13,759,2014,1,0,0,29,6,0,0,0,1,1,4,0,0
"149",62,759,2014,1,0,1,26,6,0,0,0,0,0,1,1,0
"150",115,759,2014,1,0,0,50,10,1,1,0,0,0,0,1,0
"151",170,759,2014,1,0,0,59,15,1,1,0,0,1,3,0,0
"152",220,759,2014,1,0,0,49,10,0,0,0,1,0,22,2,3
"153",270,759,2014,1,0,0,49,4,0,0,0,1,1,4,0,3
"154",320,759,2014,1,0,0,53,9,0,0,0,0,1,6,1,3
"155",366,759,2014,1,0,0,68,7,0,0,0,0,0,3,0,3
"156",412,759,2014,1,0,0,45,12,0,0,0,0,1,4,0,3
"157",458,759,2014,1,0,0,70,12,1,1,0,0,1,2,0,10
"158",505,759,2014,1,0,0,75,7,0,0,0,0,0,9,0,0
"159",550,759,2014,1,0,1,85,7,0,0,0,0,1,0,2,2
"160",591,759,2014,1,0,0,50,5,0,0,0,0,0,1,1,2
"161",639,759,2014,1,0,0,38,4,0,0,0,0,1,6,3,4
"162",684,759,2014,1,0,0,38,9,1,1,0,0,0,0,0,3
"163",725,759,2014,1,0,1,90,10,0,1,0,0,1,3,0,0
"164",14,363,2014,0,0,1,45,8,0,0,0,0,1,8,3,15
"165",63,363,2014,0,0,0,22,6,0,0,0,1,1,30,2,4
"166",116,363,2014,0,0,0,26,3,0,0,0,0,1,2,4,5
"167",171,363,2014,0,0,1,24,4,0,0,0,1,0,1,1,1
"168",221,363,2014,0,0,0,25,9,0,0,0,1,1,3,1,2
"169",271,363,2014,0,0,0,63,13,0,0,0,0,1,5,0,6
"170",321,363,2014,0,0,0,39,11,0,0,0,0,1,6,1,3
"171",367,363,2014,0,0,1,45,11,0,0,0,1,1,2,2,3
"172",413,363,2014,0,0,0,23,13,1,0,0,1,1,30,1,3
"173",459,363,2014,0,0,0,50,8,0,0,0,0,1,2,1,6
"174",506,363,2014,0,0,0,51,17,0,0,0,0,1,3,1,3
"175",551,363,2014,0,0,0,20,3,1,0,0,1,1,2,1,1
"176",592,363,2014,0,0,1,30,3,0,0,0,0,0,4,1,4
"177",640,363,2014,0,0,0,34,8,0,0,1,0,1,4,1,4
"178",685,363,2014,0,0,0,52,7,0,0,0,0,1,1,1,2
"179",726,363,2014,0,0,0,80,7,0,1,0,0,1,3,2,4
"180",15,312,2014,1,0,0,90,6,0,1,0,0,1,6,0,2
"181",64,312,2014,1,0,0,70,27,0,1,0,0,1,12,4,12
"182",117,312,2014,1,0,0,22,11,0,0,0,1,0,4,0,2
"183",172,312,2014,1,0,0,55,13,0,0,0,0,1,9,2,4
"184",222,312,2014,1,0,0,50,8,0,0,0,0,1,2,2,0
"185",272,312,2014,1,0,0,61,10,0,0,0,1,0,3,0,2
"186",322,312,2014,1,0,0,50,7,0,1,0,0,1,4,1,2
"187",368,312,2014,1,0,0,50,8,0,1,0,0,1,15,1,3
"188",414,312,2014,1,0,0,89,15,0,0,0,0,1,15,0,4
"189",460,312,2014,1,0,0,37,6,0,0,0,0,1,2,0,0
"190",507,312,2014,1,0,0,30,11,1,1,0,0,1,20,0,7
"191",552,312,2014,1,0,0,54,11,0,0,0,0,1,21,0,0
"192",593,312,2014,1,0,0,40,5,0,0,1,0,1,0,0,0
"193",641,312,2014,1,0,0,50,7,0,0,0,0,0,3,1,2
"194",686,312,2014,1,0,1,70,7,0,0,0,0,0,0,0,4
"195",727,312,2014,1,0,0,56,12,0,0,0,0,1,8,0,3
"196",16,498,2014,0,0,0,65,9,0,0,0,0,1,20,0,4
"197",65,498,2014,0,0,1,35,6,0,0,0,0,1,7,2,5
"198",118,498,2014,0,0,1,40,4,0,0,0,0,0,1,1,2
"199",173,498,2014,0,0,0,65,3,0,0,0,0,1,15,0,2
"200",223,498,2014,0,0,1,75,3,1,1,0,0,0,0,0,0
"201",273,498,2014,0,0,1,35,8,0,0,1,0,1,2,2,0
"202",323,498,2014,0,0,0,30,5,0,0,0,1,0,0,2,2
"203",369,498,2014,0,0,0,70,10,0,0,0,0,1,17,2,3
"204",415,498,2014,0,0,1,89,11,0,0,0,0,0,0,0,0
"205",461,498,2014,0,0,0,40,7,1,1,0,0,0,2,1,2
"206",508,498,2014,0,0,0,27,5,1,1,0,0,0,0,1,0
"207",553,498,2014,0,0,0,82,7,0,0,1,0,0,0,0,2
"208",594,498,2014,0,0,0,40,8,0,0,0,0,1,9,2,0
"209",642,498,2014,0,0,1,62,7,1,0,0,0,0,0,0,0
"210",687,498,2014,0,0,0,40,6,0,0,0,0,1,8,0,4
"211",728,498,2014,0,0,1,50,3,1,1,0,0,1,20,2,5
"212",17,732,2014,1,0,0,50,8,1,1,0,0,1,4,2,10
"213",66,732,2014,1,0,0,50,3,0,1,0,0,1,12,7,6
"214",119,732,2014,1,0,0,60,17,0,1,0,0,1,5,3,6
"215",174,732,2014,1,0,1,34,5,0,0,0,0,1,3,2,1
"216",224,732,2014,1,0,0,40,3,1,1,0,0,1,10,10,20
"217",274,732,2014,1,0,0,27,5,0,0,1,0,1,5,1,3
"218",324,732,2014,1,0,0,50,10,0,0,1,0,1,4,0,4
"219",370,732,2014,1,0,0,75,3,0,0,1,0,1,5,0,5
"220",509,732,2014,1,0,0,50,7,0,1,0,0,1,2,1,3
"221",554,732,2014,1,0,1,29,6,1,0,0,1,0,0,1,2
"222",595,732,2014,1,0,0,50,3,0,1,0,0,1,2,0,2
"223",643,732,2014,1,0,0,28,4,0,0,1,0,0,0,0,1
"224",729,732,2014,1,0,0,30,10,1,1,0,0,0,0,0,0
"225",757,732,2014,1,0,0,50,9,0,0,0,0,1,5,0,3
"226",774,732,2014,1,0,0,29,18,0,1,0,0,1,4,2,2
"227",18,536,2014,0,0,0,67,21,1,1,0,0,1,5,1,3
"228",67,536,2014,0,0,1,26,8,0,0,0,0,1,8,2,0
"229",120,536,2014,0,0,0,35,15,0,0,0,0,1,6,3,3
"230",175,536,2014,0,0,0,37,5,0,0,0,0,1,2,1,3
"231",225,536,2014,0,0,0,35,2,0,0,0,0,1,10,1,5
"232",275,536,2014,0,0,0,45,9,0,0,1,0,1,5,1.5,3
"233",325,536,2014,0,0,0,30,6,0,1,0,0,1,12,1,7
"234",371,536,2014,0,0,0,60,7,0,0,0,0,1,8,0,0
"235",416,536,2014,0,0,0,45,5,0,1,0,0,1,0,0,0
"236",462,536,2014,0,0,0,60,10,1,1,0,0,1,4,1,0
"237",510,536,2014,0,0,0,45,11,0,1,0,0,1,5,2,5
"238",555,536,2014,0,0,0,60,6,1,1,0,0,1,2,1,3
"239",596,536,2014,0,0,0,35,10,0,0,0,0,1,5,6,5
"240",644,536,2014,0,0,0,60,7,0,0,0,0,1,5,0,5
"241",688,536,2014,0,0,0,66,7,0,1,0,0,1,2,1,2
"242",19,708,2014,0,0,0,40,6,0,0,0,0,1,3,4,7
"243",68,708,2014,0,0,0,75,8,0,0,0,0,1,1,2,3
"244",121,708,2014,0,0,0,31,6,0,1,0,0,0,1,1,3
"245",176,708,2014,0,0,0,55,6,0,0,0,0,1,3,1,4
"246",226,708,2014,0,0,0,27,9,0,1,0,0,1,10,0,1
"247",276,708,2014,0,0,0,39,4,0,0,0,0,0,1,3,0
"248",326,708,2014,0,0,0,27,5,1,1,0,0,1,3,1,3
"249",372,708,2014,0,0,0,30,6,1,0,0,0,0,0,1,2
"250",417,708,2014,0,0,0,50,10,0,0,0,0,1,3,1,5
"251",463,708,2014,0,0,0,35,5,1,1,0,0,1,10,3,6
"252",511,708,2014,0,0,0,55,12,0,0,1,0,1,4,3,11
"253",556,708,2014,0,0,0,25,4,0,1,0,0,1,7,2,1
"254",597,708,2014,0,0,0,53,8,0,0,0,0,1,3,1,2
"255",645,708,2014,0,0,0,65,5,0,0,1,0,0,1,2,0
"256",689,708,2014,0,0,0,40,12,0,0,0,1,1,5,2,5
"257",20,473,2014,0,0,0,80,10,1,1,0,0,1,1,1,1
"258",69,473,2014,0,0,1,28,13,0,0,0,1,1,4,1,4
"259",122,473,2014,0,0,0,65,9,0,1,0,0,1,11,1,2
"260",177,473,2014,0,0,0,39,7,0,0,0,0,1,4,0,4
"261",227,473,2014,0,0,0,51,11,0,0,1,0,1,8,0,4
"262",277,473,2014,0,0,0,30,8,0,1,0,0,0,7,4,6
"263",327,473,2014,0,0,0,30,39,0,0,0,0,1,6,2,3
"264",373,473,2014,0,0,0,30,6,0,1,0,0,1,1,1,1
"265",418,473,2014,0,0,0,40,7,0,0,1,0,1,10,2,2
"266",464,473,2014,0,0,0,24,3,1,1,0,0,1,5,0,0
"267",512,473,2014,0,0,1,60,6,1,1,0,0,1,0,0,0
"268",557,473,2014,0,0,0,43,14,0,0,0,0,1,2,1,1
"269",598,473,2014,0,0,0,50,7,0,0,0,1,1,2,0,1
"270",646,473,2014,0,0,0,50,13,0,0,0,0,1,11,0,4
"271",690,473,2014,0,0,0,30,5,0,0,0,0,1,7,0,1
"272",730,473,2014,0,0,0,39,20,0,0,1,0,1,16,4,8
"273",21,912,2014,0,0,0,65,11,0,0,0,0,1,6,1,1
"274",70,912,2014,0,0,0,60,5,0,1,0,0,0,2,2,2
"275",123,912,2014,0,0,0,30,4,0,0,1,0,1,2,1,2
