"","id","rand_survey_id","year","post","attrited","fec","livelihoods_Z","income_Z_t","assets_Z_t","durableLoan_t","resilience","cons_Z","consAtt","consKnow","susFarm","hwc","farmIncome_t","cocoaIncome_t","offFarmIncome_t","upSize_t","wetSize_t","plntSize_t","health","lab_index","inc_farm_wage_t","inc_ntfp_t","cocoaHarvest_t","totalIncome_t","consumptionExp_t","irregularExp_t","livelihoods_Z_panel","income_Z_t_panel","assets_Z_t_panel","durableLoan_t_panel","resilience_panel","cons_Z_panel","consAtt_panel","consKnow_panel","susFarm_panel","hwc_panel","farmIncome_t_panel","cocoaIncome_t_panel","offFarmIncome_t_panel","upSize_t_panel","wetSize_t_panel","plntSize_t_panel","health_panel","lab_index_panel","inc_farm_wage_t_panel","inc_ntfp_t_panel","cocoaHarvest_t_panel","totalIncome_t_panel","consumptionExp_t_panel","irregularExp_t_panel","durableLoan_t_us","resilience_us","consAtt_us","consKnow_us","susFarm_us","hwc_us","farmIncome_t_us","cocoaIncome_t_us","cocoaHarvest_t_us","offFarmIncome_t_us","upSize_t_us","wetSize_t_us","plntSize_t_us","health_us","lab_index_us","inc_farm_wage_t_us","inc_ntfp_t_us","totalIncome_t_us","consumptionExp_t_us","irregularExp_t_us"
"1",3,956,2014,0,0,0,0.889630795965484,1.78867013682483,2.3270845726487,-0.196100856448942,-1.4592548710767,0.0816367225952638,-1.08503595190567,-0.271619482210294,1.78175025479525,-0.610568248267122,1.3718065483114,1.80324084803927,0.593452521159849,1.51251050035499,0.0464532989793187,0.864843158430198,3.84622830610153,0.835406853113396,-0.597046812332701,-0.385711013417232,3.40594497639096,8.64470654271103,6.15698347420802,9.01578429227059,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,14,3,2,-3,8.32845112516377,6.90775627898064,8.16051832911015,7.33953811706367,3.09310219505083,0.881373587019543,2.99822295029797,25,2,0,0,8.64470654271103,6.15698347420802,9.01578429227059
"2",3,956,2019,1,0,0,-0.0120245505912603,-0.51231573478617,-0.0522381026958332,-0.196100856448942,0.68224903063326,-0.248389284985799,1.08279182377349,-0.271619482210294,-0.417403031717768,-0.610568248267122,0.795091448325297,1.62668456518492,0.421765808021621,-1.64602956638948,-0.999511619950297,-0.520235113939393,-0.249813541238894,1.85534132438437,-0.597046812332701,-0.385711013417232,-0.525024192962945,7.37775929885264,5.95064933420277,7.01211610592782,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,20,3,0,-3,6.39693243298235,6.39693243298235,0,6.90775627898064,0,0,1.44363547517881,5,3,0,0,7.37775929885264,5.95064933420277,7.01211610592782
"3",53,956,2014,0,1,0,2.18424536447255,-0.38820129152687,0.742606810161485,3.95220234606329,0.68224903063326,2.55609115895822,1.08279182377349,NA,0.682173611538741,1.36463410326984,-1.1149120854874,-0.584290159048228,0.421765808021621,-1.64602956638948,0.713714286745543,1.09769571031806,-0.249813541238894,1.85534132438437,-0.597046812332701,-0.385711013417232,-0.525024192962945,6.90775627898064,6.65929556333507,7.43248415804473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.39693243298235,1,20,NA,1,-1,0,0,0,6.90775627898064,0,1.44363547517881,3.25957255626292,5,3,0,0,6.90775627898064,6.65929556333507,7.43248415804473
"4",105,956,2014,0,1,0,0.294897617829252,-0.299053985230575,0.48727901887394,-0.196100856448942,0.68224903063326,1.78711958586164,1.08279182377349,-0.271619482210294,2.88132689805176,-0.610568248267122,1.38033801815622,2.18295441577146,0.437360865019527,0.898466543269861,0.0464532989793187,1.60513514941519,0.569394828229191,0.835406853113396,-0.597046812332701,-0.385711013417232,2.75172954583511,8.57546213514007,5.59843567613726,6.74523773356453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,3,3,-3,8.35702449436712,8.00636767876134,6.80239599788993,6.94697691669035,2.49177985264491,0.881373587019543,3.82911365162088,9,2,0,0,8.57546213514007,5.59843567613726,6.74523773356453
"5",160,956,2014,0,0,0,-0.503858884105773,0.249917680702112,0.48727901887394,-0.196100856448942,-1.4592548710767,-1.61769582674211,-1.80764521046539,-0.271619482210294,-0.417403031717768,-0.610568248267122,1.15157345582248,1.12370963667486,-0.509985762872304,0.898466543269861,-0.999511619950297,0.6672717517217,-0.864219818339958,0.835406853113396,-0.597046812332701,-0.385711013417232,2.22252637049824,7.63819847631632,4.24869926123636,8.18479273192922,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,0,12,3,0,-3,7.5908523787645,4.94169343911329,5.70379358558213,4.5644566807559,2.49177985264491,0,2.77647228072372,2,2,0,0,7.63819847631632,4.24869926123636,8.18479273192922
"6",160,956,2019,1,0,0,-0.227032102983088,-0.811023511606947,-0.21539780444556,-0.196100856448942,NA,0.41251556191376,-1.80764521046539,NA,-0.417403031717768,2.35223527903831,-1.1149120854874,-0.584290159048228,0.620885703753951,NA,NA,-1.80645937722111,-1.06902191070698,NA,-0.597046812332701,-0.385711013417232,-0.525024192962945,7.40853093420388,4.24869926123636,3.91242276564126,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,NA,12,NA,0,0,0,0,0,7.40853093420388,NA,NA,0,1,NA,0,0,7.40853093420388,4.24869926123636,3.91242276564126
"7",211,956,2014,0,1,0,0.023420979965536,-0.0500343248362797,-0.457664841959439,-0.196100856448942,0.68224903063326,-1.10420587358349,-0.723731322625807,-0.271619482210294,-0.417403031717768,-0.610568248267122,-1.1149120854874,-0.584290159048228,0.0574289396913687,-0.746009582301698,-0.999511619950297,-1.80645937722111,3.64142621373451,-1.20446208942855,-0.597046812332701,-0.385711013417232,-0.525024192962945,5.99147079704939,7.90912231817719,7.98956056424335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,3,0,-3,0,0,0,5.99147079704939,0.881373587019543,0,0,24,0,0,0,5.99147079704939,7.90912231817719,7.98956056424335
"8",260,956,2014,0,0,0,2.0337173767537,2.78695775223489,1.5369496688295,-0.196100856448942,0.68224903063326,-0.248389284985799,1.08279182377349,-0.271619482210294,-0.417403031717768,-0.610568248267122,2.00746242086141,2.80224103494901,0.526087908076962,-0.171852444979805,1.15851901691101,1.87089196966612,0.774196920596212,1.17538501020372,-0.597046812332701,-0.385711013417232,3.33168971103662,10.4940481450883,6.12249761865175,8.46800299136076,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,20,3,0,-3,10.4573726665883,9.79812703996472,8.00636767876134,7.17012013516508,1.44363547517881,1.81844645923207,4.12739442927165,10,2.33333333333333,0,0,10.4940481450883,6.12249761865175,8.46800299136076
"9",260,956,2019,1,0,0,-0.00601568328565877,-0.638705822558871,0.0978640071434852,-0.196100856448942,0.68224903063326,-1.61769582674211,-1.80764521046539,-0.271619482210294,-0.417403031717768,-0.610568248267122,0.314563505810892,-0.584290159048228,0.146155220454005,-0.746009582301698,0.0464532989793187,-1.80645937722111,-0.249813541238894,0.835406853113396,-0.597046812332701,-0.385711013417232,-0.525024192962945,6.4297220794858,6.51914946334075,6.82871324290703,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,12,3,0,-3,4.78756117999381,0,0,6.21461209839819,0.881373587019543,0.881373587019543,0,5,2,0,0,6.4297220794858,6.51914946334075,6.82871324290703
"10",310,956,2014,0,0,0,0.233286334012505,0.951093186470181,1.58108850181381,-0.196100856448942,-1.4592548710767,-1.61769582674211,-1.80764521046539,-0.271619482210294,-0.417403031717768,-0.610568248267122,1.6820004307125,2.35951128849833,1.10989031276708,0.492998856086502,0.713714286745543,1.28224821370421,2.20781156716536,-1.20446208942855,2.24200358211613,-0.385711013417232,2.99779684095212,9.76100190756368,4.43095849208054,7.54433238800094,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,12,3,0,-3,9.36734412809098,8.51719323141623,7.31322083153445,8.63834834436521,2.0947125472611,1.44363547517881,3.46671103788472,17,0,6.21461209839819,0,9.76100190756368,4.43095849208054,7.54433238800094
